,Unnamed: 0,Report Number,Accident Year,Accident Date/Time,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Accident City,Accident County,Accident State,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
1112,1112,20130078,2013,02-05-13 13:30,SUNOCO PIPELINE L.P.,HEBERT STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),BEAUMONT,JEFFERSON,TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.36,,0.0,0.36,NO,NO,NO,0.0,45.0,0.0,0.0,540.0,0.0,585
1453,1453,20140017,2013,12/22/2013 9:09 AM,MID - VALLEY PIPELINE CO,HEBRON STATION,ONSHORE,TANK,CRUDE OIL,,BURLINGTON,BOONE,KY,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.24,,0.24,0.0,NO,NO,NO,1000.0,0.0,0.0,500.0,1000.0,0.0,2500
2701,2701,20160358,2016,10-02-16 19:03,"BUCKEYE PARTNERS, LP", BUCKEYE TEXAS HUB,ONSHORE,ABOVEGROUND,CRUDE OIL,,CORPUS CHRISTI,NUECES,TX,ALL OTHER CAUSES,UNKNOWN,0.5,,0.5,0.0,NO,NO,NO,2500.0,25.0,0.0,1000.0,0.0,0.0,3525
2746,2746,20160415,2016,11/15/2016 4:46 PM,ENTERPRISE PRODUCTS OPERATING LLC,SEYMOUR TO BEAUMONT (ATEX),ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,BRUSHY TOWNSHIP,SALINE,IL,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,0.1,0.0,0.0,0.1,NO,NO,NO,127747.0,1.0,0.0,0.0,0.0,0.0,127748
2264,2264,20150371,2015,9/24/2015 12:45 PM,"ONEOK NGL PIPELINE, LLC","TXL0365C #1-10"" CR 349 TO EASTLAND PIPELINE",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),,TAYLOR,TX,CORROSION,EXTERNAL,6.0,0.0,0.0,6.0,NO,NO,YES,44975.0,155.0,0.0,250.0,88909.0,0.0,134289
1247,1247,20130212,2013,5/19/2013 5:00 PM,ENTERPRISE CRUDE PIPELINE LLC,FARGO PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,FARGO,WILBAGER,TX,ALL OTHER CAUSES,MISCELLANEOUS,0.5,,0.5,0.0,NO,NO,NO,2500.0,100.0,0.0,0.0,0.0,0.0,2600
2779,2779,20170014,2016,12/17/2016 6:00 AM,"KINDER MORGAN LIQUID TERMINALS, LLC",CARTERET,ONSHORE,TANK,CRUDE OIL,,CARTERET,MIDDLESEX,NJ,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1.19,,1.19,0.0,NO,NO,NO,13318.0,0.0,0.0,90990.0,13492.0,0.0,117800
291,291,20110094,2010,11/16/2010 1:40 PM,ENTERPRISE PRODUCTS OPERATING LLC,MAPCO HOBBS JCT TO MAPCO HOBS STATION,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,SEMINOLE,GAINES,TX,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,25.0,0.0,0.0,25.0,NO,NO,YES,20000.0,20000.0,0.0,5000.0,0.0,0.0,45000
777,777,20120118,2012,3/21/2012 10:45 AM,EXPLORER PIPELINE CO,WOOD RIVER TANK FARM,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),HARTFORD,MADISON,IL,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,11.0,0.0,11.0,0.0,NO,NO,NO,0.0,750.0,0.0,100000.0,0.0,0.0,100750
1509,1509,20140064,2014,02-01-14 12:45,"BUCKEYE PARTNERS, LP",MACUNGIE STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",EMMAUS,LEHIGH,PA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,12.0,,12.0,0.0,NO,NO,NO,5000.0,1469.0,0.0,0.0,19250.0,0.0,25719
1998,1998,20150098,2015,03-02-15 11:00,SUNOCO PIPELINE L.P.,DARBY CREEK TANK FARM,ONSHORE,ABOVEGROUND,CRUDE OIL,,SHARON HILL,DELAWARE,PA,NATURAL FORCE DAMAGE,TEMPERATURE,297.0,,297.0,0.0,NO,NO,NO,8000.0,0.0,0.0,10000.0,0.0,23100.0,41100
1271,1271,20130234,2013,06-07-13 13:30,WEST TEXAS GULF PIPELINE CO,WTG-RANGER STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,RANGER,EASTLAND,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1.0,,1.0,0.0,NO,NO,NO,100.0,0.0,0.0,1500.0,0.0,0.0,1600
2434,2434,20160071,2016,02-12-16 13:29,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,AMMONIA WEST LEG ,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,,HENRY,IA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.29,0.0,0.0,0.29,NO,NO,YES,4080.0,12.0,0.0,0.0,0.0,0.0,4092
1355,1355,20130321,2013,8/21/2013 9:00 PM,"MAGELLAN PIPELINE COMPANY, LP",WARDA STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,WARDA,FAYETTE,TX,INCORRECT OPERATION,INCORRECT INSTALLATION,0.47,,0.47,0.0,NO,NO,NO,0.0,50.0,0.0,3000.0,0.0,0.0,3050
1844,1844,20140401,2014,10/23/2014 2:38 PM,COLONIAL PIPELINE CO,COLONIAL PIPELINE COMPANY/ELS,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OTHER,JACKSON,EAST FELICIANA,LA,INCORRECT OPERATION,INCORRECT INSTALLATION,2.4,,2.4,0.0,NO,NO,NO,0.0,100.0,0.0,5000.0,0.0,0.0,5100
1715,1715,20140273,2014,07-01-14 15:50,"MAGELLAN AMMONIA PIPELINE, L.P.",VERDIGRIS LATERAL,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,ENID,GARFIELD,OK,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",4.2,0.0,0.0,4.2,NO,NO,YES,30000.0,0.0,0.0,1000.0,5000.0,0.0,36000
513,513,20110245,2011,6/18/2011 7:30 AM,WEST TEXAS GULF PIPELINE CO,COLORADO CITY STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,HERMLIEGH,SCURRY,TX,CORROSION,INTERNAL,1.0,0.0,0.0,1.0,NO,NO,YES,500.0,90.0,0.0,0.0,1000.0,0.0,1590
1321,1321,20130283,2013,7/29/2013 2:30 PM,COLONIAL PIPELINE CO,COLONIAL/GREENSBORO JUNCTION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),GREENSBORO,GUILFORD,NC,CORROSION,INTERNAL,28.4,,28.4,0.0,NO,NO,NO,71000.0,3500.0,0.0,24000.0,9000.0,0.0,107500
775,775,20120105,2012,3/20/2012 12:30 PM,CONOCOPHILLIPS,WEEMS PUMP STATION ,ONSHORE,ABOVEGROUND,CRUDE OIL,,DENVER CITY ,YOAKUM,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.48,0.0,0.48,0.0,NO,NO,NO,250.0,50.0,0.0,0.0,500.0,0.0,800
441,441,20110117,2011,3/25/2011 5:10 AM,CHEVRON PRODUCTS COMPANY,LOU/LEX PIPELINE,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),LOUISVILLE,JEFFERSON,KY,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,10.0,,1.0,9.0,NO,NO,NO,0.0,14700.0,0.0,6700.0,4200.0,0.0,25600
838,838,20150249,2012,5/17/2012 4:00 AM,ENTERPRISE CRUDE PIPELINE LLC,JONES CREEK STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,JONES CREEK,BRAZORIA,TX,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.1,,0.1,0.0,YES,NO,NO,0.0,0.0,0.0,0.0,0.0,0.0,0
1174,1174,20130142,2013,3/29/2013 3:30 PM,"KOCH PIPELINE COMPANY, L.P.",LIBERTY PUMP STATION ,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,LIBERTY,LIBERTY,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1.6,1.6,0.0,1.6,NO,NO,NO,0.0,296.0,0.0,0.0,0.0,0.0,296
265,265,20100252,2010,10/23/2010 1:00 AM,CHEVRON PIPE LINE CO,WEST TEXAS LPG,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),SANTO,PALO PINTO,TX,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,6.2,0.0,0.0,6.2,NO,NO,,0.0,150.0,0.0,5000.0,0.0,24000.0,29150
1019,1019,20120374,2012,11/21/2012 1:30 PM,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,GENEVA TO NORFOLK 8 INCH,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),FAIRMONT,FILLMORE,NE,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,60.0,0.0,60.0,0.0,NO,NO,YES,26000.0,7500.0,15000.0,260000.0,624500.0,0.0,933000
346,346,20110027,2010,12/30/2010 8:40 AM,"MAGELLAN AMMONIA PIPELINE, L.P.",ANHYDROUS AMMONIA LINE,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,GARNER,HANCOCK,IA,CORROSION,EXTERNAL,8.57,0.0,0.0,8.57,NO,NO,YES,11355.0,660.0,0.0,12500.0,40000.0,0.0,64515
603,603,20110391,2011,9/20/2011 10:22 AM,"BUCKEYE PARTNERS, LP",AUBURN TO WATERLOO,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),AUBURN,CAYUGA,NY,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,595.0,0.0,271.0,324.0,NO,NO,NO,82070.0,0.0,0.0,497010.0,2818697.0,0.0,3397777
1225,1225,20130194,2013,05-06-13 19:00,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,J-1 STATION TO GILLESPIE STATION,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",ANHYDROUS AMMONIA,ORCHARD FARM,ST. CHARLES,MO,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.92,0.0,0.0,0.92,NO,NO,YES,65000.0,40.0,800.0,0.0,10000.0,0.0,75840
1033,1033,20120359,2012,12-05-12 17:00,"SHELL PIPELINE CO., L.P.",IOWA PUMP STATION ML BV,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,IOWA,CALCASIEU,LA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,329.0,4925.0,0.0,329.0,NO,NO,YES,25000.0,218500.0,0.0,250000.0,0.0,0.0,493500
180,180,20100165,2010,07-08-10 15:20,ENTERPRISE PRODUCTS OPERATING LLC,MORGANS POINT TO TEXAS OLEFINS #3,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),PASADENA,HARRIS,TX,ALL OTHER CAUSES,MISCELLANEOUS,7.52,980.0,0.0,7.52,NO,NO,YES,173000.0,75917.0,0.0,12400.0,362809.44025834225,34356.03958258366,261317
2103,2103,20150224,2015,5/19/2015 10:57 AM,"PLAINS PIPELINE, L.P.","LAS FLORES TO GAVIOTA 24""",ONSHORE,UNDERGROUND,CRUDE OIL,,GOLETA,SANTA BARBARA,CA,CORROSION,EXTERNAL,2934.0,,1100.0,1834.0,NO,NO,YES,9868173.0,144000.0,0.0,90701042.0,22421933.0,19796736.0,142931884
1968,1968,20150078,2015,02-04-15 14:15,"SHELL PIPELINE CO., L.P.",COLEX WEST TANK FARM,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",PASADENA,HARRIS,TX,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",15.0,,15.0,0.0,NO,NO,NO,126700.0,0.0,0.0,80000.0,50000.0,0.0,256700
1943,1943,20150062,2015,1/20/2015 2:15 PM,"PLAINS MARKETING, L.P.",CUSHING TERMINAL,ONSHORE,TANK,CRUDE OIL,,CUSHING,PAYNE,OK,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.5,,0.5,0.0,NO,NO,NO,8000.0,30.0,0.0,2500.0,1000.0,0.0,11530
932,932,20120275,2012,8/27/2012 2:41 AM,WEST SHORE PIPELINE CO,EAST CHICAGO TO CANAL JUNCTION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",PALOS PARK,COOK,IL,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,704.0,0.0,685.0,19.0,NO,NO,YES,160000.0,2000.0,0.0,2726171.0,2555000.0,580000.0,6023171
1006,1006,20120352,2012,11-09-12 0:48,"KOCH PIPELINE COMPANY, L.P.",SAN ANTONIO PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),SAN ANTONIO,BEXAR,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2.0,0.0,1.95,0.05,NO,NO,YES,0.0,260.0,0.0,3102.0,52422.0,0.0,55784
155,155,20100137,2010,06-09-10 8:00,COLONIAL PIPELINE CO,NORTH AUGUSTA DELIVERY FACILITY,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),NORTH AUGUSTA,EDGEFIELD,SC,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,10.83,0.0,1.31,9.52,NO,NO,NO,1000.0,885.0,0.0,0.0,25000.0,0.0,26885
1164,1164,20130135,2013,3/18/2013 5:05 AM,"MAGELLAN PIPELINE COMPANY, LP",MASON CITY TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",CLEAR LAKE,CERRO GORDO,IA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,10.0,,10.0,0.0,NO,NO,,3500.0,921.0,0.0,15000.0,25000.0,0.0,44421
855,855,20120196,2012,06-01-12 1:44,ENERGY TRANSFER COMPANY,BENEBUM INJECTION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),MIDLAND,MIDLAND,TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,2880.0,0.0,0.0,2880.0,NO,NO,YES,25.0,117250.0,0.0,120.0,0.0,0.0,117395
789,789,20120127,2012,04-01-12 0:09,OLYMPIC PIPE LINE COMPANY,ALLEN STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",MOUNT VERNON,SKAGIT,WA,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.97,0.0,0.97,0.0,NO,NO,YES,100.0,150.0,0.0,7000.0,0.0,0.0,7250
1542,1542,20140111,2014,2/21/2014 8:00 AM,"PLAINS PIPELINE, L.P.",COLORADO CITY BASIN,ONSHORE,UNDERGROUND,CRUDE OIL,,HERMLEIGH,SCURRY,TX,CORROSION,INTERNAL,12.0,,12.0,0.0,NO,NO,NO,28776.0,1200.0,0.0,4000.0,0.0,0.0,33976
2613,2613,20160262,2016,7/28/2016 10:57 AM,HAWAII INDEPENDENT ENERGY,HONOLULU PIPELINE,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),KAPOLEI,HONOLULU,HI,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,14.0,,12.0,2.0,NO,NO,YES,200.0,1000.0,0.0,0.0,0.0,0.0,1200
711,711,20120047,2012,1/20/2012 7:00 AM,COLONIAL PIPELINE CO,COLONIAL/PAULDING STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",PAULDING,JASPER,MS,CORROSION,INTERNAL,0.95,0.0,0.95,0.0,NO,NO,NO,32535.0,120.0,0.0,59868.0,0.0,0.0,92523
3,3,20100260,2010,01-06-10 19:30,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",SUPERIOR TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,,SUPERIOR,DOUGLAS,WI,NATURAL FORCE DAMAGE,TEMPERATURE,0.48,0.0,0.48,0.0,NO,NO,,200.0,40.0,0.0,11300.0,0.0,0.0,11540
1387,1387,20130354,2013,10-03-13 10:40,EXPLORER PIPELINE CO,HUNTSVILLE PUMP STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",HUNTSVILLE,WALKER,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,3.48,,3.48,0.0,NO,NO,YES,15000.0,250.0,0.0,30000.0,0.0,0.0,45250
117,117,20100092,2010,05-10-10 18:00,"TEPPCO CRUDE PIPELINE, LLC",HOBBS TO MIDLAND,ONSHORE,UNDERGROUND,CRUDE OIL,,HOBBS,LEA,NM,CORROSION,EXTERNAL,2.0,,0.48,1.52,NO,NO,NO,30000.0,100.0,1000.0,291891.1333811402,20000.0,34356.03958258366,51100
107,107,20100088,2010,4/26/2010 12:00 PM,COLONIAL PIPELINE CO,ATLANTA JUNCTION,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),AUSTELL,COBB,GA,CORROSION,EXTERNAL,3.0,0.0,3.0,0.0,NO,NO,NO,0.0,380.0,0.0,0.0,28500.0,0.0,28880
49,49,20100010,2010,2/25/2010 10:00 AM,COLONIAL PIPELINE CO,,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,,NC,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.55,0.0,0.55,0.0,NO,NO,,15200.0,50.0,0.0,0.0,0.0,700.0,15950
969,969,20120307,2012,9/27/2012 1:00 PM,ENTERPRISE CRUDE PIPELINE LLC,COWDEN STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,MIDLAND,MARTIN,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,1.5,0.0,1.5,0.0,NO,NO,NO,300.0,150.0,0.0,0.0,600.0,0.0,1050
2671,2671,20160321,2016,09-06-16 11:50,ENTERPRISE CRUDE PIPELINE LLC,C18,ONSHORE,UNDERGROUND,CRUDE OIL,,ARCHER CITY,ARCHER,TX,ALL OTHER CAUSES,MISCELLANEOUS,19.0,,19.0,0.0,NO,NO,YES,40000.0,931.0,0.0,10000.0,0.0,0.0,50931
2673,2673,20160318,2016,09-07-16 12:30,SUNOCO PIPELINE L.P.,SOUR LAKE STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,SOUR LAKE,HARDIN,TX,INCORRECT OPERATION,INCORRECT VALVE POSITION,3.0,,3.0,0.0,NO,NO,NO,0.0,60.0,0.0,5200.0,0.0,0.0,5260
451,451,20110128,2011,04-07-11 0:31,COLONIAL PIPELINE CO,DORSEY JUNCTION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),WOODBINE,CARROLL,MD,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.19,0.0,0.19,0.0,NO,NO,,392.0,30.0,0.0,2170.0,0.0,0.0,2592
722,722,20120054,2012,1/31/2012 11:45 AM,"SHELL PIPELINE CO., L.P.","MITCHELL FIELD 10""",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",MILWAUKEE,MILWAUKEE,WI,CORROSION,EXTERNAL,215.0,,128.0,87.0,NO,NO,YES,11614000.0,11000.0,0.0,4125000.0,200000.0,0.0,15950000
2307,2307,20150422,2015,10/24/2015 6:02 AM,"PLAINS PIPELINE, L.P.",BUMPUS STATION,ONSHORE,TANK,CRUDE OIL,,WHITE OAK,GREGG,TX,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,40.0,,40.0,0.0,NO,NO,YES,0.0,350.0,0.0,18000.0,1200.0,0.0,19550
509,509,20110242,2011,6/16/2011 6:00 AM,MID - VALLEY PIPELINE CO,LIMA STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,LIMA,ALLEN,OH,CORROSION,INTERNAL,100.0,0.0,90.0,10.0,NO,NO,YES,25000.0,915.0,0.0,15000.0,79973.0,0.0,120888
2265,2265,20150369,2015,9/25/2015 11:30 PM,COLONIAL PIPELINE CO,HOUSTON STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",PASADENA,HARRIS,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,38.7,,38.5,0.2,NO,NO,YES,500.0,5500.0,0.0,45000.0,249000.0,0.0,300000
763,763,20120097,2012,03-08-12 8:45,ENTERPRISE CRUDE PIPELINE LLC,,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,TX,CORROSION,INTERNAL,1.0,0.0,0.0,1.0,NO,NO,,0.0,100.0,0.0,10000.0,15000.0,0.0,25100
678,678,20120008,2011,12-10-11 10:50,"MAGELLAN PIPELINE COMPANY, LP","#3-8"" KANSAS CITY TO DONIPHAN LINE",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NEMAHA CITY,NEMAHA,NE,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,650.0,0.0,58.0,592.0,NO,NO,YES,31000.0,62384.0,3500.0,240000.0,1778261.0,131700.0,2246845
1497,1497,20140040,2014,1/21/2014 11:19 AM,PHILLIPS 66 PIPELINE LLC,"CM-01, CHISHOLM NGL LINE",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),CONWAY SPRINGS,SUMNER,KS,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.36,0.0,0.0,0.36,NO,NO,,0.0,20.0,0.0,0.0,0.0,150.0,170
2618,2618,20160266,2016,7/30/2016 1:01 PM,"PLAINS PIPELINE, L.P.","WASSON TO ODESSA 16""",ONSHORE,UNDERGROUND,CRUDE OIL,,SEMINOLE,GAINES,TX,CORROSION,EXTERNAL,10.0,,10.0,0.0,NO,NO,NO,350000.0,450.0,1000.0,9448.0,0.0,0.0,360898
2123,2123,20150227,2015,06-02-15 21:42,PHILLIPS 66 PIPELINE LLC,"ORCUTT 8""",ONSHORE,UNDERGROUND,CRUDE OIL,,SANTA MARIA,SANTA BARBARA,CA,CORROSION,EXTERNAL,0.91,,0.91,0.0,NO,NO,YES,10000.0,45.0,5000.0,60000.0,5000.0,0.0,80045
1025,1025,20120366,2012,11/25/2012 1:02 PM,"MAGELLAN PIPELINE COMPANY, LP","FAIRFAX WEST KCI  6"" LINE #6495",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",KANSAS CITY,WYANDOTTE,KS,CORROSION,EXTERNAL,0.1,0.0,0.0,0.1,NO,NO,YES,52529.0,3.0,0.0,9945.0,0.0,0.0,62477
2125,2125,20150243,2015,06-05-15 23:37,KINDER MORGAN WINK PIPELINE LP,GUADALUPE PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,PINE SPRINGS,CULBERSON,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.5,,0.0,1.5,NO,NO,YES,10000.0,83.0,0.0,1000.0,0.0,0.0,11083
1717,1717,20140280,2014,07-04-14 0:30,TESORO SOCAL PIPELINE COMPANY LLC,CARSON CRUDE TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,,CARSON ,LOS ANGELES,CA,CORROSION,INTERNAL,225.0,,225.0,0.0,NO,NO,YES,50000.0,1200.0,0.0,25000.0,200000.0,5000.0,281200
757,757,20120072,2012,03-02-12 18:29,CENTURION PIPELINE L.P.,WEST FULLERTON STATION,ONSHORE,TANK,CRUDE OIL,,ANDREWS,ANDREWS,TX,CORROSION,INTERNAL,128.0,,100.0,28.0,NO,NO,NO,6000.0,12740.0,0.0,4200.0,16000.0,0.0,38940
