Report Number,Accident Year,Accident Date/Time,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Public Evacuations,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
20120022,2011,12/29/2011 9:00 AM,ENTERPRISE PRODUCTS OPERATING LLC,NaN,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,NaN,NaN,TX,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.23,0,0.2,0.03,NO,NO,NaN,NaN,100,30,0,0,1500,0,1630
20120025,2011,12/29/2011 2:25 PM,SUNOCO PIPELINE L.P.,HAWLEY STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,HAWLEY,JONES,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,2,0,0,2,NO,NO,NO,0,940,192,0,900,1580,0,3612
20120024,2011,12/30/2011 10:35 AM,JAYHAWK PIPELINE LLC,"HILL CITY TO BEMIS 6""/8""",ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,PLAINVILLE,ELLIS,KS,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",150,0,100,50,NO,NO,YES,0,3000,4000,2500,5000,142800,0,157300
20120014,2012,01-01-12 19:00,ONEOK NGL PIPELINE LP,MEDFORD STERLING 2 BOOSTER,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,ETHANE/PROPANE BLEND,MEDFORD,GRANT,OK,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,33.79,20,20,13.79,NO,NO,YES,0,1600,292,0,600,0,0,2492
20120028,2012,01-04-12 15:15,MARATHON PIPE LINE LLC,"BYRON - SILVERTIP 12""-10"" CRUDE",ONSHORE,TANK,CRUDE OIL,NaN,NaN,BYRON,BIG HORN,WY,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,1.5,0,1.5,0,NO,NO,NO,0,2000,150,0,3700,700,0,6550
20120033,2012,01-06-12 9:15,SUNOCO PIPELINE L.P.,"ROBERT LEE 6""",ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,ROBERT LEE,COKE,TX,CORROSION,INTERNAL,117,0,0,117,NO,NO,YES,0,35000,11466,0,5000,38156,0,89622
20120027,2012,01-09-12 7:00,ENTERPRISE CRUDE PIPELINE LLC,NaN,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,NaN,NaN,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0,0,0.12,NO,NO,NaN,NaN,100,15,0,600,600,0,1315
20120032,2012,01-10-12 7:30,CONOCOPHILLIPS,CLIFTON RIDGE MARINE TERMINAL,ONSHORE,TANK,CRUDE OIL,NaN,NaN,SULPHUR,CALCASIEU,LA,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,0.5,0,0.5,0,NO,NO,NaN,NaN,0,50,0,10000,0,0,10050
20120037,2012,01-11-12 10:25,SUNOCO PIPELINE L.P.,"LIBERTY TO HULL 8""",ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,HULL,LIBERTY,TX,CORROSION,INTERNAL,2,0,0,2,NO,NO,NO,0,3837,292,5000,10000,4000,0,23129
20120036,2012,01-12-12 6:00,EXXONMOBIL OIL CORP - WEST COAST,"M-55 LINE MIDWAY STATION NEAR FELLOW, CALIFORNIA",ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,FELLOWS,KERN,CA,MATERIAL/WELD/EQUIP FAILURE,FAILURE OF EQUIPMENT BODY,0.84,0,0.84,0,NO,NO,NO,0,500,85,0,2000,500,0,3085
20120035,2012,01-12-12 10:30,ONEOK NGL PIPELINE LP,ONEOK PONTOTOC PUMP STATION (SITE 562),ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,ETHANE/PROPANE BLEND,PONTOTOC,JOHNSON,OK,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0.14,0.1,0,0.14,NO,NO,NaN,0,30,3,0,0,0,0,33
20120041,2012,01-12-12 22:18,SUNOCO PIPELINE L.P.,FOST-HUDS-8,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,WELLINGTON,LORRAIN,OH,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,1950,0,728.5,1221.5,NO,NO,YES,70,852922,3289,716710,14091554,2240119,0,17904594
20120039,2012,1/14/2012 6:00 AM,COLONIAL PIPELINE CO,COLONIAL/ATLANTA JUNCTION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,AUSTELL,COBB,GA,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0.31,0,0.31,0,NO,NO,NO,NaN,0,40,0,10000,0,0,10040
20120038,2012,1/14/2012 10:10 PM,ALYESKA PIPELINE SERVICE CO,PUMP STATION 7,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,FAIRBANKS,FAIRBANKS NORTH STAR BOROUGH,AK,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.26,0,3.26,0,NO,NO,NaN,0,6415,0,0,24825,6000,0,37240
20120043,2012,1/16/2012 2:00 PM,CONOCOPHILLIPS,LR-16 PIER T,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,CARSON,LOS ANGELES,CA,CORROSION,INTERNAL,2,0,0,2,NO,NO,NO,0,75000,200,0,38000,15000,0,128200
20120042,2012,1/17/2012 7:20 AM,BP USFO/LOGISTICS,CARTERET TERMINAL,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NaN,NaN,760 ROOSEVELT AVENUE,MIDDLESEX,NJ,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,75,0,64,11,NO,NO,YES,0,154099,12000,0,67207,78541,0,311847
20120045,2012,1/17/2012 2:08 PM,"KINDER MORGAN LIQUID TERMINALS, LLC",NaN,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,PASADENA,HARRIS,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2,0,2,0,NO,NO,YES,NaN,35000,5,0,0,0,0,35005
20120040,2012,1/18/2012 8:00 AM,COLONIAL PIPELINE CO,COLONIAL/BELTON JUNCTION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,BELTON,ANDERSON,SC,CORROSION,INTERNAL,323.8,0,300.5,23.3,NO,NO,NO,NaN,550000,32000,0,64000,454000,0,1100000
20120030,2012,1/18/2012 10:00 AM,"MAGELLAN PIPELINE COMPANY, LP",CONOCO-PHILLIPS BUTANE DELIVERY,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,BUTANE,KANSAS CITY,WYANDOTTE,KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.71,0.1,0,0.71,NO,NO,YES,NaN,2000,30,0,0,0,0,2030
20120047,2012,1/20/2012 7:00 AM,COLONIAL PIPELINE CO,COLONIAL/PAULDING STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,PAULDING,JASPER,MS,CORROSION,INTERNAL,0.95,0,0.95,0,NO,NO,NO,NaN,32535,120,0,59868,0,0,92523
20120044,2012,1/20/2012 8:04 AM,ENBRIDGE STORAGE (PATOKA) L.L.C.,PATOKA STORAGE FACILITY,ONSHORE,TANK,CRUDE OIL,NaN,NaN,VERNON,MARION,IL,NATURAL FORCE DAMAGE,TEMPERATURE,0.17,0,0.17,0,NO,NO,NO,0,500,0,0,3500,500,0,4500
20120034,2012,1/22/2012 9:00 AM,ONEOK NGL PIPELINE LP,ONEOK DES MOINES STORAGE FACILITY,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,REFINERY GRADE BUTANE (RGB),PLEASANT HILL ,POLK,IA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,11.9,0.1,5.95,5.95,NO,NO,YES,0,3,890,0,1500,3000,0,5393
20120029,2012,1/22/2012 12:45 PM,"SHELL PIPELINE CO., L.P.",SUGARLAND PUMP / METER STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,ST. JAMES,ST. JAMES,LA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.5,0,0.5,0,NO,NO,NO,0,1000,0,0,4000,0,0,5000
20120050,2012,1/23/2012 10:12 AM,"BUCKEYE PARTNERS, LP",GREENSBURG STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,WESTMORELAND,HEMPFIELD TOWNSHIP,PA,ALL OTHER CAUSES,MISCELLANEOUS,0.6,0,0.43,0.17,NO,NO,YES,0,0,25,0,800,100,0,925
20120049,2012,1/25/2012 9:17 AM,"LION OIL TRADING & TRANSPORTATION, INC","AMOCO 6""",ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,EL DORADO,UNION,AR,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,60,NaN,59,1,NO,NO,YES,0,14035,97,5000,3400,20000,0,42532
20120051,2012,1/26/2012 2:20 PM,"KOCH PIPELINE COMPANY, L.P.",WISCONSIN PROPANE LINE ,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,PROPANE,FAIRCHILD,EAU CLAIRE,WI,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",1.52,12.48,0,1.52,NO,NO,NO,0,264734,759,0,300,0,0,265793
20120031,2012,1/26/2012 11:05 PM,"HOLLY ENERGY PARTNERS - OPERATING, L.P.",EL PASO 8/12 - ARTESIA PUMP STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,ARTESIA,EDDY,NM,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.36,0,0,0.36,NO,NO,NaN,0,200,37,0,100,2500,0,2837
20120053,2012,1/27/2012 8:43 AM,SINCLAIR TRANSPORTATION COMPANY,PATHFINDER STATION,ONSHORE,TANK,CRUDE OIL,NaN,NaN,CASPER,NATRONA,WY,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR,440,0,245,195,NO,NO,NaN,0,15000,17550,0,5000,87610,0,125160
20120052,2012,1/28/2012 9:15 AM,"MAGELLAN PIPELINE COMPANY, LP",KANSAS CITY TERMINAL,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,KANSAS CITY,WYANDOTTE,KS,NATURAL FORCE DAMAGE,TEMPERATURE,262,0,242,20,NO,NO,YES,NaN,5000,36000,0,5000,132748,0,178748
20120055,2012,1/30/2012 9:00 AM,WEST TEXAS GULF PIPELINE CO,BLUM STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,BLIM,HILL,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,70,0,70,0,NO,NO,NO,0,181,0,0,0,0,0,181
20120054,2012,1/31/2012 11:45 AM,"SHELL PIPELINE CO., L.P.","MITCHELL FIELD 10""",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,MILWAUKEE,MILWAUKEE,WI,CORROSION,EXTERNAL,215,NaN,128,87,NO,NO,YES,0,11614000,11000,0,4125000,200000,0,15950000
20120056,2012,02-01-12 18:30,EXXONMOBIL PIPELINE CO,MT BELVIEU UNDERGROUND STORAGE,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,ETHYLENE,MT BELVIEU,CHAMBERS,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.16,0,0,0.16,NO,NO,NO,0,1500,50,0,0,0,0,1550
20120058,2012,02-03-12 20:12,KINDER MORGAN WINK PIPELINE LP,MONAHANS TRUCK RACK,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,MONAHANS,WARD,TX,INCORRECT OPERATION,OTHER INCORRECT OPERATION,26,0,20,6,NO,NO,YES,0,2000,2600,5000,26000,10000,12000,57600
20120067,2012,02-06-12 11:00,COLONIAL PIPELINE CO,COLONIAL/HEBERT STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,BEAUMONT,JEFFERSON,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.33,0,0.33,0,NO,NO,NO,NaN,19500,40,0,0,19000,0,38540
20120062,2012,02-06-12 14:09,"BUCKEYE PARTNERS, LP",HAMMOND TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,HAMMOND,LAKE,IN,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.24,0,0.24,0,NO,NO,NO,0,19230,0,0,6000,0,1998,27228
20120061,2012,02-06-12 21:55,ENTERPRISE CRUDE PIPELINE LLC,CUSHING WEST,ONSHORE,TANK,CRUDE OIL,NaN,NaN,CUSHING,PAYNE,OK,INCORRECT OPERATION,INCORRECT INSTALLATION,32,NaN,30,2,NO,NO,NO,NaN,0,200,0,0,17096,0,17296
20120064,2012,02-07-12 8:00,"PLAINS MARKETING, L.P.",LONG BEACH PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,LONG BEACH,LOS ANGELES,CA,CORROSION,EXTERNAL,0.5,0,0.5,0,NO,NO,NO,NaN,20000,50,0,5000,0,0,25050
20120063,2012,02-07-12 11:30,"BUCKEYE PARTNERS, LP",LIMA STATION,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),NaN,LIMA,ALLEN,OH,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.6,0,0.6,0,NO,NO,NO,0,40500,0,0,43000,12500,0,96000
20120065,2012,02-09-12 14:15,SUNOCO PIPELINE L.P.,STATION 8A,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,WHITE OAK,GREGG,TX,INCORRECT OPERATION,INCORRECT INSTALLATION,0.35,0,0,0.35,NO,NO,NO,0,0,34,0,2000,0,0,2034
20120068,2012,02-12-12 5:31,CONOCOPHILLIPS,WICHITA NORTH TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,WICHITA,SEDGWICK,KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.48,0,0,0.48,NO,NO,NaN,0,10000,75,0,0,0,1500,11575
20120069,2012,2/13/2012 3:15 PM,EXXONMOBIL PIPELINE CO,LOCAP TO ANCHORAGE TANK FARM,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,NEAREST CITY ST. JAMES,ST. JAMES,LA,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.45,0,0.45,0,NO,NO,NO,0,0,0,0,1000,2000,0,3000
20120066,2012,2/14/2012 1:20 PM,ENTERPRISE CRUDE PIPELINE LLC,NaN,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,NaN,NaN,OK,CORROSION,INTERNAL,100,NaN,0,100,NO,NO,NaN,NaN,0,10000,0,20000,45000,0,75000
20120071,2012,2/14/2012 4:55 PM,"MAGELLAN PIPELINE COMPANY, LP",ROSEMOUNT PUMP STATION,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,APPLE VALLEY,DAKOTA,MN,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1477,0,1195.24,281.76,NO,NO,NO,0,500,165425,0,414000,1797701,0,2377626
20120078,2012,2/15/2012 8:00 AM,"KOCH PIPELINE COMPANY, L.P.",VIOLA TO FHR EAST,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,CORPUS CHRISTI,NUECES,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,1.2,0,1.1,0.1,NO,NO,NO,0,1000,100,0,5000,10350,0,16450
20120083,2012,2/15/2012 8:45 AM,CONOCOPHILLIPS,WESTLAKE REFINERY,ONSHORE,TANK,CRUDE OIL,NaN,NaN,WESTLAKE,CALCASIEU,LA,CORROSION,INTERNAL,0.83,0,0.83,0,NO,NO,NO,0,825000,50,0,0,0,0,825050
20120048,2012,2/15/2012 9:15 AM,CENEX PIPELINE LLC,LAUREL STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,N/A,YELLOWSTONE,MT,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.35,0,0,0.35,NO,NO,NaN,NaN,480,30,0,0,100,0,610
20120082,2012,2/15/2012 1:58 PM,EXPLORER PIPELINE CO,CONROE PUMP STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,CONROE,MONTGOMERY,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,14,0,14,0,NO,NO,YES,0,1000,1600,0,50000,849000,0,901600
20120079,2012,2/15/2012 2:15 PM,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",EELP LINE 5,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,STERLING,ARENAC,MI,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,20,0,20,0,NO,NO,YES,0,50000,2000,0,120000,128000,0,300000
20120060,2012,2/15/2012 6:45 PM,COLONIAL PIPELINE CO,COLONIAL/LINDEN JUNCTION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,AVENEL,MIDDLESEX,NJ,NATURAL FORCE DAMAGE,TEMPERATURE,5.4,0,5.4,0,NO,NO,NO,NaN,100,1000,0,30000,30000,0,61100
20120073,2012,2/16/2012 1:04 AM,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",LINE 14,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,WALWORTH,WALWORTH,WI,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,5,0,5,0,NO,NO,YES,0,2370,184,0,39742,1364,0,43660
20120086,2012,2/16/2012 4:45 AM,"KINDER MORGAN LIQUID TERMINALS, LLC",NaN,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,NaN,NaN,TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1,0,1,0,NO,NO,YES,NaN,4000,3,0,0,6000,0,10003
20120084,2012,2/17/2012 12:10 PM,PETROLEUM FUEL AND TERMINAL COMPANY,PETROLEUM FUEL & TERMINAL CO.,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,BALTIMORE,NaN,MD,CORROSION,EXTERNAL,5,NaN,5,0,NO,NO,YES,0,0,0,0,0,0,0,0
20120081,2012,2/17/2012 2:45 PM,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",LINE 6A MP 461,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,DYER,LAKE,IN,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,0.01,0,0.01,0,NO,NO,YES,0,0,0,5000,53360,0,0,58360
20120074,2012,2/18/2012 5:30 AM,WEST TEXAS GULF PIPELINE CO,BLUM STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,BLUM,HILL,TX,NATURAL FORCE DAMAGE,HEAVY RAINS/FLOODS,2,0,1.5,0.5,NO,NO,NO,0,0,50,0,22457,0,0,22507
20120077,2012,2/19/2012 6:00 PM,"MAGELLAN PIPELINE COMPANY, LP",NEWPORT STATION,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,NEWPORT,WASHINGTON,MN,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0,0.24,0,NO,NO,NaN,NaN,400,10,0,6000,4900,0,11310
20120076,2012,2/20/2012 3:19 PM,"KOCH PIPELINE COMPANY, L.P.",PINE BEND STATION GATE 11,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,PINE BEND,DAKOTA COUNTY,MN,CORROSION,INTERNAL,0.24,0,0.19,0.05,NO,NO,NO,0,50,19,0,0,3204,0,3273
20120085,2012,2/20/2012 4:14 PM,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,ABERDEEN TO JAMESTOWN LINE 5,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,ABERDEEN,BROWN,SD,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,500,0,450,50,NO,NO,YES,0,12000,14340,10000,155000,75000,0,266340
20120080,2012,2/21/2012 1:00 PM,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",HARTSDALE TERMINAL,ONSHORE,TANK,CRUDE OIL,NaN,NaN,SCHERERVILLE,LAKE,IN,INCORRECT OPERATION,INCORRECT VALVE POSITION,24,0,24,0,NO,NO,YES,0,10000,1000,0,80000,34000,0,125000
20120115,2012,2/22/2012 11:30 AM,CENEX PIPELINE LLC,GLENDIVE TERMINAL,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,GLENDIVE,NaN,MT,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.23,0,0.23,0,NO,NO,NaN,NaN,200,32,0,0,100,0,332
20120087,2012,2/24/2012 4:10 PM,CENEX PIPELINE LLC,BV 111,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,NONE,ROSEBUD,MT,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,183,0,181,2,NO,NO,YES,0,10000,24650,200000,10000,0,0,244650
20120093,2012,2/27/2012 6:00 AM,SUNOCO PIPELINE L.P.,MAYSVILLE STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,MAYSVILLE,GARVIN,OK,CORROSION,INTERNAL,2,0,1.5,0.5,NO,NO,YES,0,700,53,0,3500,0,0,4253
20120125,2012,2/28/2012 6:00 AM,HARVEST PIPELINE COMPANY,MARTIN TERMINAL,ONSHORE,TANK,CRUDE OIL,NaN,NaN,CORPUS CHRISTI,NUECES,TX,ALL OTHER CAUSES,MISCELLANEOUS,1300,0,1250,50,NO,NO,YES,0,10000,5000,200000,0,750000,0,965000
20120095,2012,2/29/2012 2:00 PM,WEST TEXAS GULF PIPELINE CO,COLORADO CITY STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,HERMLIEGH,SCURRY,TX,INCORRECT OPERATION,OTHER INCORRECT OPERATION,2,0,0,2,NO,NO,NO,0,0,207,0,0,1000,0,1207
20120094,2012,03-02-12 8:45,MOTIVA ENTERPRISE LLC,MOTIVA ENTERPRISES LLC,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,PORT ARTHUR TEXAS,JEFFERSON,TX,CORROSION,EXTERNAL,0.16,0,0.16,0,NO,NO,YES,0,40000,0,0,0,5000,0,45000
20120096,2012,03-02-12 10:00,SUNOCO PIPELINE L.P.,21028,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,HULL,LIBERTY,TX,CORROSION,INTERNAL,0.12,0,0,0.12,NO,NO,YES,0,0,12,5000,6000,4000,0,15012
20120072,2012,03-02-12 18:29,CENTURION PIPELINE L.P.,WEST FULLERTON STATION,ONSHORE,TANK,CRUDE OIL,NaN,NaN,ANDREWS,ANDREWS,TX,CORROSION,INTERNAL,128,NaN,100,28,NO,NO,NO,0,6000,12740,0,4200,16000,0,38940
20120098,2012,03-03-12 2:04,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",LINE 64,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,NEW LENOX,WILL,IL,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,1500,0,255,1245,YES,NO,YES,0,864819,124500,0,915512,931946,0,2836777
20120099,2012,03-04-12 6:00,CHEVRON PIPE LINE CO,EMPIRE TERMINAL,ONSHORE,TANK,CRUDE OIL,NaN,NaN,EMPIRE ,PLAQUEMINES,LA,ALL OTHER CAUSES,MISCELLANEOUS,0.17,0,0.17,0,NO,NO,NO,0,400000,625,0,0,0,0,400625
20120092,2012,03-05-12 7:10,ENTERPRISE CRUDE PIPELINE LLC,RINGGOLD STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,RINGGOLD,MONTAGUE,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,1.5,0,0,1.5,NO,NO,NaN,0,0,200,0,0,1850,0,2050
